,0
0,0.1408520522937723
1,0.14295093660114427
2,0.15857469681508124
3,0.15243786747557753
4,0.1503708809840835
5,0.15985707691459888
6,0.16325715369336266
7,0.1459971275202652
8,0.15096836457845728
9,0.156333650112501
10,0.15694379513734552
11,0.1556276427996419
12,0.156450225732568
13,0.15521005375618482
14,0.15106864645973234
15,0.1460151348461107
16,0.14468738797469996
17,0.15400359816793985
18,0.15056048175941536
19,0.15053533490424717
20,0.14168044478797723
21,0.1484206972923213
22,0.14434479353781984
23,0.16518790201922004
24,0.15960666519139752
25,0.1446607008468063
26,0.1555754192179472
27,0.1483365483558197
28,0.15754203872896239
29,0.1540485877275484
30,0.15887469460733047
31,0.14867393708406332
32,0.16628801443460953
33,0.16017222724733743
34,0.15150781013019843
35,0.15307788001749192
36,0.1429171425673395
37,0.15389410401180967
38,0.14321902832780686
39,0.15573587525256224
40,0.1389693169841459
41,0.15005059289018158
42,0.16156098452281337
43,0.15300875181187412
44,0.14319262651647732
45,0.15841605671241552
46,0.1513440454801421
47,0.1575094273643069
48,0.15022692828948064
49,0.15082867967029956
50,0.14620384124720262
51,0.14918146940490698
52,0.16982402062997545
53,0.16603372068976005
54,0.15919726236124326
55,0.15282359213436228
56,0.15733481314595804
57,0.14688503035935047
58,0.1421987603304861
59,0.16657508093989631
60,0.1523042317887055
61,0.15730016482696632
62,0.14863988145007093
63,0.14972947990297886
64,0.15455518969141036
65,0.13607756047771347
66,0.15224673633360877
67,0.09086609701685174
68,0.11419363510870935
69,0.1320974853816703
70,0.12143358685775484
71,0.12424988799070323
72,0.10334719991414712
73,0.12725747550659697
74,0.12589803569577454
75,0.1323368597297837
76,0.10352919768651907
77,0.12810847065330702
78,0.13386922480563204
79,0.1347224234315102
80,0.12975127631162556
81,0.12981917931275563
82,0.10467741661894327
83,0.1314559000911349
84,0.11629592162029609
85,0.1335736271687607
86,0.12376027140765851
87,0.13779550961103632
88,0.1303223272985142
89,0.12992804329643998
90,0.12214530404351628
91,0.11834315911868812
92,0.1224868317119103
93,0.1305181893563457
94,0.11618299981895984
95,0.09690380015905155
96,0.10870595547638869
97,0.13218378075949844
98,0.12361013069023209
99,0.13265842191897034
100,0.1245402016807668
101,0.10191293433454336
102,0.1322744788373237
103,0.13588359175746473
104,0.11879246723902002
105,0.12643062666936652
106,0.13731447242129613
107,0.13463108133710355
108,0.1590801445457101
109,0.12317747321205325
110,0.14034564637483662
111,0.12958440671847266
112,0.13916841996295504
113,0.13663745831327267
114,0.13712209825640842
115,0.12991635895538686
116,0.15223096132271377
117,0.11368214095143274
118,0.1474744248460446
119,0.12945886874745863
120,0.12349310193878607
121,0.1416265467150427
122,0.13853219206130502
123,0.1355138326800395
124,0.14566875159123596
125,0.1426816642693067
126,0.13553861554792504
127,0.1390312189397384
128,0.15143245869112837
129,0.14299673506748925
130,0.13157703705157933
131,0.1350673183808463
132,0.14034910596991726
133,0.13653559574453086
134,0.1441977326228752
135,0.13543052853792925
136,0.13951794755977626
137,0.13776085107914354
138,0.13065229087345362
139,0.14210842862537523
140,0.13952442992973874
141,0.13356188378599707
142,0.13493545487286243
143,0.14771123564191355
144,0.13920058026631665
145,0.14752565004111937
146,0.14864697028987833
147,0.1483504901042783
148,0.1276774854158496
149,0.13628264791153286
150,0.1304945856958103
151,0.14422179003270869
152,0.1420550949509256
153,0.1326679031525892
154,0.13758495583988598
155,0.1440592193970344
156,0.1350380650173865
157,0.1464664720795955
158,0.15544212649752584
159,0.13783876599222208
160,0.13958370505185616
161,0.13084654184116176
162,0.1384243415375993
163,0.13559186762074
164,0.13034166629090957
165,0.13808693717460624
166,0.1277616511515655
167,0.12837921726047657
168,0.13762371956458433
169,0.12385031022175681
170,0.13817220205662875
171,0.12778241836343965
172,0.14315723792886537
173,0.13087253578979322
174,0.14436994192387628
175,0.13467659409384278
176,0.1446849220136009
177,0.14768304008354463
178,0.13992901173028277
179,0.13562613583696737
180,0.13845269533652058
181,0.1441677938738489
182,0.13653622524387193
183,0.13838363508888651
184,0.15329651079951617
185,0.14956992147285114
186,0.14005154598164601
