,% Fair/Poor,% Children in Poverty,% Frequent Physical Distress,% Frequent Mental Distress,% Free or Reduced Lunch,% Smokers,Household Income,% Diabetic,Food Environment Index,% Excessive Drinking,% Insufficient Sleep,% Physically Inactive,% Non-Hispanic White,% Unemployed,% African American,Income Ratio,% Not Proficient in English,% Obese,Chlamydia Rate,% Uninsured,% With Access,Violent Crime Rate,% Severe Housing Problems,% Food Insecure
0,18.960995776,19.099999999999998,13.228409538666668,13.376448883,46.46955769433333,18.693852393333334,57389.333333333336,12.366666666666667,7.166666666666667,16.342010419,35.968468688,32.233333333333334,50.82192466563333,4.2763596204,19.214392426999996,4.744865756366667,25.369338681,35.766666666666666,363.1333333333334,8.907228650366667,69.710041353,270.09407335333333,14.887820512666666,13.4
1,17.836378120000003,15.633333333333333,12.826702556999999,13.158445186333333,46.495521574,17.163010865666667,56885.0,10.9,7.966666666666666,17.319436701,33.101956046999994,25.166666666666668,56.94892625513333,4.3384607188,8.927991976333333,4.5059222262,28.536539579152983,30.333333333333332,334.26666666666665,11.444468155666668,71.57118298433333,208.22013209666667,13.855400310333332,12.200000000000001
2,27.197267236,44.63333333333333,16.394965834666667,15.528750736333334,67.76410067966667,21.999994842666666,33252.0,17.866666666666667,5.566666666666666,12.948005184666668,38.85438904166667,27.5,32.25878515066667,6.5571280704,47.810878448000004,5.7938033395333335,16.047084120333334,43.23333333333333,610.7333333333333,12.747597485666667,53.388923286,385.75928689333335,14.861111111,22.666666666666668
3,19.813241385666668,27.599999999999998,13.208858497666668,13.339178784333333,62.520705207,19.704733295,44979.333333333336,14.833333333333334,7.666666666666667,15.856680789,38.049621800000004,35.5,50.44166666666666,4.9906092445,21.406845238,4.289526836866667,25.562522354486315,37.86666666666667,314.59999999999997,10.735417528666666,27.083787912000002,108.44970866066667,11.165484633666667,15.433333333333332
4,21.248430938,18.666666666666668,14.174388115,14.286423611333333,53.63542902333333,19.73622399,48626.0,15.0,8.466666666666667,14.743531275666667,35.98167013966667,29.433333333333334,61.32374366066667,4.337052440733333,1.4542185339,4.210087443833333,30.262079299333337,34.6,154.23333333333335,13.120253164666666,23.544828628999998,392.5635369633333,10.516003879666668,10.9
5,29.66636728366667,54.1,16.960322839333333,15.284925340000001,70.59553123566667,22.96488800366667,30886.0,21.233333333333334,4.333333333333333,12.698033743000002,45.006878623,27.866666666666664,16.920049977,5.596705750966668,69.34678108766667,6.670065331466667,7.739067534666667,38.733333333333334,777.0666666666666,13.146792040666668,17.167124793833334,308.0091109,19.047819972,24.933333333333334
6,27.303557728,35.43333333333333,16.232235797333335,15.638454623666666,77.05237939666667,21.921778321,36538.666666666664,18.400000000000002,6.533333333333334,12.619134476666666,41.97036130033333,36.166666666666664,35.1030487805,5.796739211733333,44.419308943000004,5.207865193933333,17.718360433666664,39.766666666666666,805.8000000000001,11.395336512999998,47.85991629666666,562.1946683966667,14.053203040333335,21.53333333333333
7,21.035911073666668,25.5,13.584800430000001,14.397169129,58.945864405,20.204186791666668,44371.666666666664,16.5,6.866666666666667,14.614076715666668,41.104781327333335,31.566666666666666,49.60355772959999,5.417610719566667,20.783404942999997,4.974632149566667,24.574997302,37.166666666666664,610.0333333333333,11.309722508,46.907071933666664,695.3555147566667,14.578063752666665,16.566666666666666
8,24.665157867666665,31.233333333333334,15.082595769333333,15.165557693333334,66.040450589,21.130975684333333,38776.666666666664,17.633333333333333,6.266666666666666,13.581911538999998,37.08885826233333,31.7,38.0204521791,4.5026970411,39.455223362666665,4.714977378233333,19.109858967486314,39.36666666666667,731.7666666666668,11.979358936333334,62.28822641133333,528.33324541,16.652226233333334,19.3
9,19.566156866333333,25.900000000000002,13.455236943333333,14.225980482333334,62.868747901999996,18.499557928333335,42810.0,14.066666666666668,8.333333333333334,14.702187617333331,35.118356936666665,33.1,61.673693915166666,4.2902713245,4.246978078266667,4.7028216769,31.151568071152983,35.666666666666664,219.66666666666666,11.724216639,34.143175959,348.1462639933334,14.666666666666666,13.166666666666666
10,21.061820970333333,24.099999999999998,14.196997200666667,14.392366611,61.923343738999996,20.062993021333334,46046.666666666664,15.866666666666667,8.133333333333333,14.836458192,35.058189754000004,31.400000000000002,56.24232705970001,4.403190251233333,9.9892042066,5.0025559828,28.179838289666666,36.233333333333334,322.76666666666665,14.253235291333333,46.431264273000004,453.9369069833333,13.765744083333333,13.700000000000001
11,24.287843761666664,33.36666666666667,15.102887784666668,14.590006901,65.99106927333334,18.931082763333333,36436.333333333336,16.8,6.333333333333333,12.547430205333333,38.097058093,34.06666666666667,38.04784414506667,6.9463286465,41.505152766,5.786698573433334,19.948302960782303,40.766666666666666,438.0666666666666,11.447359569333335,27.978088847333336,122.47155420666667,12.353717026333333,20.5
12,27.078361603333335,34.233333333333334,15.971314724666668,15.458022791333335,61.847659725999996,20.859885105333333,37173.666666666664,19.466666666666665,5.333333333333333,12.623003506333333,40.94825990366667,31.866666666666664,35.6209587514,9.024483195666667,44.175641025666664,8.489660876766665,18.13554751781965,37.36666666666667,636.6666666666666,11.975455430333334,32.42333449466667,463.10414532666664,12.678527821333333,23.96666666666667
13,21.931972471333335,26.599999999999998,14.350487949666666,14.522410897666667,61.824873539,19.206784717666668,39118.333333333336,14.166666666666666,7.833333333333333,14.428834552666666,38.846841622666666,31.866666666666664,54.63772755806667,4.8358097154666675,13.843502825000002,4.793086201833334,27.575196105819646,38.86666666666667,346.5333333333333,13.627779363666667,57.92707436133333,323.35573760333335,13.727865796666668,14.833333333333334
